id,x,y,z,i
0,26.6783,-12.6029,-0.269928,16
0,26.7066,-12.615,-0.261025,9
0,26.685,-12.5893,-0.256085,0
0,26.6876,-12.5994,-0.250247,17
0,26.7015,-12.6207,-0.260555,9
0,26.712,-12.6092,-0.261515,9
0,26.7017,-12.6034,-0.250901,4
0,26.6763,-12.5843,-0.277728,6
0,26.6717,-12.6086,-0.259169,9
0,26.6822,-12.6051,-0.249738,12
0,26.6702,-12.5903,-0.277689,6
0,26.7026,-12.582,-0.283276,0
0,26.6766,-12.5944,-0.291761,3
0,26.6725,-12.5858,-0.282056,0
0,26.6733,-12.5873,-0.259899,9
0,26.7173,-12.6115,-0.279076,3
0,26.6758,-12.6069,-0.24931,8
0,26.7184,-12.6072,-0.261948,9
0,26.6972,-12.5742,-0.271007,0
0,26.6863,-12.6003,-0.30253,9
0,26.6865,-12.5885,-0.299018,0
0,26.7141,-12.5996,-0.251718,4
0,26.6987,-12.5966,-0.303366,9
0,26.6966,-12.614,-0.3031,9
0,26.7121,-12.617,-0.250996,4
0,26.6691,-12.6089,-0.24886,8
0,26.7051,-12.5947,-0.303796,9
0,26.691,-12.5735,-0.292942,3
0,26.721,-12.5945,-0.29276,0
0,26.7049,-12.6075,-0.239025,6
0,26.6762,-12.5867,-0.301968,9
0,26.6644,-12.5933,-0.249343,6
0,26.6773,-12.5997,-0.30743,6
0,26.6973,-12.5716,-0.293342,3
0,26.7126,-12.5794,-0.294217,3
0,26.699,-12.6381,-0.259887,9
0,26.7007,-12.6171,-0.238403,7
0,26.6627,-12.5778,-0.269574,0
0,26.7236,-12.6092,-0.25192,4
0,26.664,-12.6145,-0.248369,8
0,26.6738,-12.5829,-0.244781,6
0,26.6799,-12.6272,-0.301912,9
0,26.6878,-12.6208,-0.237533,8
0,26.6952,-12.6228,-0.237861,8
0,26.6807,-12.6187,-0.237229,6
0,26.6725,-12.6252,-0.301447,9
0,26.6705,-12.6049,-0.237234,93
0,26.6765,-12.603,-0.31186,0
0,26.6572,-12.6166,-0.249657,2
0,26.6558,-12.6085,-0.248113,4
0,26.6956,-12.6055,-0.228388,47
0,26.6727,-12.5918,-0.311945,4
0,26.6818,-12.5637,-0.292482,3
0,26.6761,-12.5654,-0.292105,3
0,26.6885,-12.6034,-0.228108,52
0,26.6777,-12.6217,-0.234473,0
0,26.723,-12.6101,-0.30485,9
0,26.6941,-12.623,-0.313312,4
0,26.702,-12.6036,-0.22882,47
0,26.7158,-12.6419,-0.271241,16
0,26.6659,-12.6144,-0.236585,46
0,26.7048,-12.5865,-0.314094,4
0,26.6808,-12.6014,-0.227787,42
0,26.7196,-12.6237,-0.304531,9
0,26.7094,-12.6056,-0.229125,38
0,26.676,-12.6451,-0.258525,2
0,26.7256,-12.6096,-0.240079,23
0,26.7162,-12.6039,-0.314828,4
0,26.6512,-12.6293,-0.27006,3
0,26.6748,-12.6032,-0.22738,33
0,26.6806,-12.5978,-0.320172,0
0,26.6647,-12.5617,-0.275857,0
0,26.7271,-12.5883,-0.241042,23
0,26.6529,-12.5725,-0.280885,0
0,26.7241,-12.5715,-0.295052,3
0,26.6886,-12.6527,-0.266684,1
0,26.6675,-12.5664,-0.297748,0
0,26.6582,-12.6171,-0.238029,3
0,26.6841,-12.6302,-0.230726,2
0,26.6562,-12.6005,-0.236621,47
0,26.6973,-12.6015,-0.323934,17
0,26.6681,-12.6009,-0.227127,23
0,26.7328,-12.6275,-0.293868,0
0,26.6443,-12.5899,-0.25398,7
0,26.6941,-12.5688,-0.313414,9
0,26.6393,-12.5958,-0.274918,0
0,26.6707,-12.5867,-0.319471,0
0,26.6553,-12.6068,-0.233296,8
0,26.6869,-12.5668,-0.312932,4
0,26.6726,-12.5679,-0.309696,6
0,26.6618,-12.5613,-0.291247,3
0,26.7241,-12.6309,-0.239129,46
0,26.6753,-12.5667,-0.310687,0
0,26.6995,-12.5842,-0.324016,17
0,26.6632,-12.6106,-0.226412,23
0,26.6863,-12.6034,-0.217848,64
0,26.7115,-12.6056,-0.324919,17
0,26.7276,-12.6,-0.23036,4
0,26.7365,-12.61,-0.30574,9
0,26.702,-12.6112,-0.218256,57
0,26.7264,-12.6174,-0.315487,4
0,26.7096,-12.6427,-0.236468,0
0,26.6815,-12.6089,-0.217309,47
0,26.6966,-12.617,-0.217672,68
0,26.6575,-12.567,-0.243713,5
0,26.6565,-12.6083,-0.226161,19
0,26.6596,-12.581,-0.228483,4
0,26.6553,-12.5628,-0.297101,0
0,26.6559,-12.5907,-0.318862,0
0,26.6873,-12.5657,-0.319298,0
0,26.6851,-12.6078,-0.21371,0
0,26.7199,-12.6114,-0.32552,17
0,26.677,-12.6185,-0.216571,31
0,26.6479,-12.5922,-0.23292,9
0,26.7112,-12.621,-0.218219,42
0,26.7003,-12.6631,-0.269795,16
0,26.6577,-12.6374,-0.235186,46
0,26.6668,-12.6048,-0.21676,32
0,26.7385,-12.6381,-0.251749,4
0,26.6456,-12.5595,-0.268339,0
0,26.7303,-12.6369,-0.235003,1
0,26.7349,-12.6232,-0.31605,4
0,26.6791,-12.6646,-0.260218,6
0,26.6626,-12.6143,-0.216043,26
0,26.6332,-12.5824,-0.253378,7
0,26.6947,-12.5918,-0.20883,20
0,26.702,-12.5938,-0.209085,20
0,26.688,-12.5897,-0.20862,20
0,26.6827,-12.5954,-0.20802,16
0,26.7094,-12.5957,-0.20932,16
0,26.6785,-12.5375,-0.267681,6
0,26.6876,-12.6167,-0.207596,0
0,26.625,-12.5999,-0.274244,0
0,26.7305,-12.615,-0.219528,5
0,26.6763,-12.5972,-0.207594,11
0,26.6607,-12.6394,-0.320359,0
0,26.7235,-12.5594,-0.232023,4
0,26.6473,-12.5799,-0.318233,0
0,26.7116,-12.5874,-0.336116,25
0,26.6698,-12.5792,-0.333123,17
0,26.7234,-12.5727,-0.325622,17
0,26.7176,-12.6015,-0.209387,11
0,26.6476,-12.6127,-0.220752,3
0,26.69,-12.599,-0.341932,0
0,26.6697,-12.5991,-0.207147,9
0,26.6795,-12.5919,-0.341261,1
0,26.6482,-12.5608,-0.309407,0
0,26.6368,-12.5847,-0.232341,7
0,26.6688,-12.5531,-0.318186,0
0,26.649,-12.6125,-0.328961,3
0,26.6508,-12.6543,-0.300664,2
0,26.6836,-12.6419,-0.21359,3
0,26.6569,-12.5829,-0.33226,7
0,26.6655,-12.6086,-0.206388,5
0,26.632,-12.5631,-0.279752,0
0,26.7227,-12.6384,-0.217913,42
0,26.6992,-12.5661,-0.335039,20
0,26.6519,-12.5885,-0.331961,5
0,26.6788,-12.564,-0.333608,20
0,26.6607,-12.6355,-0.21483,10
0,26.685,-12.5621,-0.334027,17
0,26.743,-12.6111,-0.220379,5
0,26.6702,-12.5809,-0.340548,1
0,26.6524,-12.5858,-0.212059,6
0,26.6912,-12.5602,-0.334446,20
0,26.7398,-12.6247,-0.219506,5
0,26.6607,-12.5694,-0.332394,7
0,26.6722,-12.5618,-0.333126,17
0,26.6786,-12.5807,-0.343974,45
0,26.6849,-12.5789,-0.344397,40
0,26.6675,-12.5881,-0.343295,40
0,26.7335,-12.6091,-0.209746,1
0,26.6723,-12.5826,-0.34355,45
0,26.6908,-12.5771,-0.3448,49
0,26.6981,-12.579,-0.345354,40
0,26.721,-12.5718,-0.33664,17
0,26.6621,-12.5938,-0.342996,36
0,26.7324,-12.5882,-0.336624,1
0,26.6447,-12.5864,-0.33144,5
0,26.6215,-12.5788,-0.252761,5
0,26.7054,-12.581,-0.345911,40
0,26.7116,-12.5622,-0.335884,20
0,26.7266,-12.5459,-0.232813,4
0,26.7078,-12.6177,-0.348058,2
0,26.7148,-12.5906,-0.346734,40
0,26.6389,-12.5648,-0.317521,0
0,26.6878,-12.5667,-0.202534,3
0,26.6549,-12.5917,-0.342448,36
0,26.6599,-12.5737,-0.205577,4
0,26.727,-12.5699,-0.337045,15
0,26.6995,-12.5813,-0.34994,4
0,26.6885,-12.661,-0.217033,2
0,26.7208,-12.5887,-0.347142,36
0,26.6598,-12.5695,-0.339773,1
0,26.6489,-12.5934,-0.342047,31
0,26.629,-12.5698,-0.231943,6
0,26.6401,-12.5822,-0.211408,6
0,26.6955,-12.6629,-0.215618,3
0,26.7625,-12.5637,-0.293282,1
0,26.6235,-12.5752,-0.31202,2
0,26.6452,-12.6069,-0.341989,22
0,26.7282,-12.5905,-0.347706,31
0,26.6753,-12.5858,-0.354102,43
0,26.6906,-12.6016,-0.188295,0
0,26.6419,-12.6597,-0.233777,3
0,26.6939,-12.5803,-0.355356,31
0,26.6479,-12.5437,-0.31708,0
0,26.7278,-12.6031,-0.351191,7
0,26.6573,-12.6713,-0.312287,3
0,26.6794,-12.5762,-0.354205,37
0,26.6351,-12.5724,-0.330646,2
0,26.7248,-12.629,-0.348483,2
0,26.6516,-12.6137,-0.348993,6
0,26.6391,-12.6085,-0.341586,22
0,26.6668,-12.5799,-0.35336,34
0,26.6617,-12.5855,-0.353106,34
0,26.6779,-12.6192,-0.18807,3
0,26.6986,-12.5746,-0.355587,34
0,26.6301,-12.578,-0.330349,2
0,26.6847,-12.5705,-0.354478,37
0,26.7059,-12.5766,-0.356166,34
0,26.714,-12.5824,-0.35688,28
0,26.6106,-12.6363,-0.290717,0
0,26.718,-12.5992,-0.358696,0
0,26.6979,-12.5312,-0.326891,3
0,26.6067,-12.5826,-0.252013,2
0,26.662,-12.6217,-0.189938,1
0,26.6809,-12.6162,-0.184375,51
0,26.6542,-12.5793,-0.352432,28
0,26.6843,-12.5669,-0.356347,6
0,26.7234,-12.5921,-0.357775,28
0,26.7403,-12.5866,-0.348525,4
0,26.7008,-12.6005,-0.363687,1
0,26.6278,-12.5827,-0.210729,5
0,26.7299,-12.6398,-0.198201,5
0,26.6898,-12.6261,-0.184116,67
0,26.637,-12.6298,-0.341761,13
0,26.6976,-12.6281,-0.184351,75
0,26.676,-12.6218,-0.183762,34
0,26.6655,-12.6081,-0.184211,25
0,26.7289,-12.5936,-0.188186,8
0,26.6476,-12.5812,-0.35199,28
0,26.6437,-12.5906,-0.351901,25
0,26.6972,-12.6677,-0.205647,3
0,26.678,-12.5889,-0.364721,100
0,26.7108,-12.6116,-0.364492,0
0,26.6815,-12.5742,-0.361988,5
0,26.728,-12.6148,-0.186688,8
0,26.6904,-12.5853,-0.365553,99
0,26.7308,-12.5939,-0.358364,21
0,26.6834,-12.5832,-0.364974,99
0,26.6974,-12.5874,-0.366133,100
0,26.639,-12.6001,-0.351766,15
0,26.7057,-12.634,-0.184323,83
0,26.7236,-12.6245,-0.185815,16
0,26.6353,-12.5622,-0.338478,1
0,26.6698,-12.583,-0.363952,100
0,26.6647,-12.5886,-0.36372,100
0,26.7034,-12.5856,-0.36654,100
0,26.661,-12.6021,-0.363803,99
0,26.6562,-12.6222,-0.185909,3
0,26.6477,-12.5841,-0.189599,27
0,26.6274,-12.5805,-0.20405,3
0,26.6314,-12.6354,-0.341451,4
0,26.6352,-12.6135,-0.351771,15
0,26.6546,-12.6038,-0.363376,99
0,26.7088,-12.5798,-0.366792,100
0,26.6717,-12.563,-0.361198,6
0,26.7207,-12.6379,-0.184762,33
0,26.7184,-12.5894,-0.367774,99
0,26.7392,-12.5575,-0.348023,4
0,26.6028,-12.5915,-0.316407,0
0,26.7088,-12.5859,-0.369758,1
0,26.666,-12.6369,-0.182239,16
0,26.6591,-12.548,-0.350325,5
0,26.6869,-12.6773,-0.205058,3
0,26.6459,-12.5938,-0.362468,82
0,26.678,-12.5639,-0.365276,6
